,MeetID,Name,Sex,Equipment,Age,Division,BodyweightKg,WeightClassKg,Squat4Kg,BestSquatKg,Bench4Kg,BestBenchKg,Deadlift4Kg,BestDeadliftKg,TotalKg,Place,Wilks
0,0,Angie Belk Terry,F,Wraps,47.0,Mst 45-49,59.6,60,,47.63,,20.41,,70.31,138.35,1,155.05
1,0,Dawn Bogart,F,Single-ply,42.0,Mst 40-44,58.51,60,,142.88,,95.25,,163.29,401.42,1,456.38
2,0,Dawn Bogart,F,Single-ply,42.0,Open Senior,58.51,60,,142.88,,95.25,,163.29,401.42,1,456.38
3,0,Dawn Bogart,F,Raw,42.0,Open Senior,58.51,60,,,,95.25,,,95.25,1,108.29
4,0,Destiny Dula,F,Raw,18.0,Teen 18-19,63.68,67.5,,,,31.75,,90.72,122.47,1,130.47
5,0,Courtney Norris,F,Wraps,28.0,Open Senior,62.41,67.5,-183.7,170.1,,77.11,,145.15,392.36,1,424.4
6,0,Maureen Clary,F,Raw,60.0,Mst 60-64,67.31,67.5,,124.74,,95.25,,163.29,383.28,1,391.98
7,0,Maureen Clary,F,Raw,60.0,Open Senior,67.31,67.5,,124.74,,95.25,,163.29,383.28,1,391.98
8,0,Priscilla Sweat Pardue,F,Wraps,52.0,50-54,65.95,67.5,,120.2,,54.43,,108.86,283.49,1,294.25
9,0,Priscilla Sweat Pardue,F,Raw,52.0,Senior,65.95,67.5,,,,,,108.86,108.86,1,112.99
10,0,Kayce Hoover,F,Wraps,24.0,Junior,65.5,67.5,,138.35,,65.77,,136.08,340.2,1,354.89
11,0,Cindy Meeker,F,Wraps,56.0,Mst 55-59,71.21,75,,120.2,,43.09,,129.27,292.56,1,287.67
12,0,Cindy Meeker,F,Wraps,56.0,Open Senior,71.21,75,,120.2,,43.09,,129.27,292.56,1,287.67
13,0,Candice Pardue Maness,F,Wraps,54.0,Mst 50-54,70.58,75,,102.06,,74.84,,106.59,283.49,1,280.44
14,0,Danielle Ortiz,F,Raw,17.0,Teen 16-17,69.31,75,,81.65,,49.9,,115.67,247.22,1,247.64
15,0,Jessica Jenkins,F,Multi-ply,32.0,Open Senior,80.56,82.5,,229.06,,161.03,,210.92,601.01,1,547.81
16,0,Jessica Wissmann,F,Wraps,25.0,Open Senior,77.93,82.5,,142.88,,68.04,,136.08,347.0,1,322.3
17,0,Emma Love,F,Raw,18.0,Teen 18-19,77.93,82.5,,86.18,,52.16,,83.91,222.25,1,206.43
18,0,Kelly Benson,F,Raw,22.0,Open Junior,88.72,90,,102.06,,77.11,,120.2,299.37,1,260.25
19,0,Cathy Cranford,F,Raw,56.0,Mst 55-59,83.1,90,,86.18,,38.56,,102.06,226.8,1,203.35
20,0,Alexis Eliopoulos,F,Wraps,30.0,Senior,88.36,90,-183.7,174.63,,122.47,204.12,195.04,492.14,1,428.59
21,0,Shannon Nash,F,Raw,44.0,Open Senior,83.64,90,,,,165.56,,,165.56,1,147.95
22,0,Paula Bowers,F,Wraps,34.0,Open Junior,94.8,90+,,74.84,,47.63,,92.99,215.46,1,182.5
